sp	d.tpos	d.tneg	d.fpos	d.fneg	global.count	Max.Latitude	Min.Latitude	Mean.Latitude	Median.Latitude
Abies_religiosa	37	38	2	0	28143	25.167	17.385	19.6650052	19.52
Abies_sachalinensis	19	34	0	0	8562	63.4224	35.64676	47.5368009091	45.01667
Abies_sibirica	36	40	9	1	35246	69.66158	40.81306	57.5488588312	58.9471
Abies_spectabilis	16	18	0	0	2293	49.25	-42.91667	28.9707437778	28.53333
Abies_squamata	13	17	0	0	6532	49.25408	28.71304	30.7984348387	30.05
Abies_veitchii	11	18	0	0	1687	61.7833	33.76031	44.712550641	38.85808
Abies_vejarii	11	14	0	0	64	25.883	-38.16667	17.9468321622	24.8958
Abies_yuanbaoshanensis	1	12	0	0	1203	25.03179	25.03179	25.03179	25.03179
Abies_ziyuanensis	10	13	0	0	12946	26.00537	26.00537	26.00537	26.00537
Acmopyle_pancheri	61	59	0	0	1068	-20.37	-22.17908	-21.7108957	-22.05
Acmopyle_sahniana	2	5	0	0	525	-17.56889	-18.1	-17.9484128571	-18.1
Actinostrobus_acuminatus	19	21	0	0	2025	-27.8321850121	-34.1805600327	-30.5134765264	-30.1667
Actinostrobus_arenarius	58	56	2	1	2122	-27.5486100223	-33.1833300313	-29.8623414143	-30.0666850132
Actinostrobus_pyramidalis	42	41	1	0	9318	-27.5818300223	-38.1333	-32.3939904329	-32.1408800148
Afrocarpus_dawei	3	12	0	0	155	1.08333	-2.42	-0.890120625	-1
Afrocarpus_falcatus	17	23	1	0	18113	53.51667	-40.375	-17.0002055877	-28.75
Afrocarpus_gracilior	47	45	4	1	11443	59.37	-37.01169	4.4420809302	6.335
Afrocarpus_mannii	2	12	0	0	6102	27.8669	-36.85944	-0.4629761538	0.21896
Afrocarpus_usambarensis	13	23	1	1	1481	25.68333	-6.94277	-3.2561354545	-4.5
Agathis_atropurpurea	8	14	0	0	14445	-16.0667	-37.8167	-17.4055527615	-17.25
Agathis_australis	12	14	0	0	513	-34.4853	-43.80846	-37.6137257	-36.87634
Agathis_borneensis	8	13	0	0	3262	6	-6.75	2.8846242623	4.35
Agathis_corbassonii	16	15	0	0	10861	NA	NA	NA	NA
Agathis_dammara	41	44	1	2	9207	59.37	-36.85	0.9758987621	-0.55
Agathis_labillardierei	44	37	6	0	3045	-0.5	-8.75	-3.0111592391	-3
Agathis_lanceolata	30	29	0	0	1651	20.9883	-36.86667	-20.7900222785	-22.16667
Agathis_macrophylla	11	15	0	0	2472	25.65833	-36.9	-16.1039046341	-17.8
Agathis_microstachya	9	16	0	0	6787	-6.75	-37.78333	-17.4881149009	-17.3123100036
Agathis_montana	8	14	0	0	537	NA	NA	NA	NA
Agathis_moorei	41	41	1	0	1387	-20.31578	-37.78333	-22.1105594253	-21.18333
Agathis_ovata	49	50	0	0	2301	-20.96546	-22.575	-22.0887112245	-22.121995
Agathis_robusta	22	17	5	0	27951	33.1	-39.88333	-15.8175624778	-17.2922
Agathis_silbae	4	8	0	0	533	25.6583	-15.48	-10.2027125	-15.37
Amentotaxus_argotaenia	15	19	1	0	12436	31.3316	16.85306	25.2484947	24.180815
Amentotaxus_formosana	5	13	0	0	8296	24.26667	22	22.4026672	22.39833
Amentotaxus_poilanei	2	12	0	0	555	15.06667	15.06667	15.06667	15.06667
Amentotaxus_yunnanensis	11	13	0	0	5262	25.37104	17.39222	22.6701552	23.12546
Araucaria_angustifolia	18	24	0	0	10534	43.97745	-30.56417	-23.6186315254	-26.3675
Araucaria_araucana	42	47	0	0	11759	54.94778	-43.53323	33.4005992	50.79279
Araucaria_bernieri	36	36	0	0	2210	-20.25487	-22.3075	-21.9125373864	-22.164305
Araucaria_bidwillii	6	7	0	0	3993	53.51667	-37.86667	-12.7655217603	-26.6631300208
Araucaria_biramulata	20	21	0	0	2219	-20.58889	-36.96806	-22.0563881944	-21.754585
Araucaria_columnaris	18	22	0	0	2180	53.51667	-33.61275	-5.862916413	-21.602915
Araucaria_cunninghamii	76	63	14	0	25631	53.74668	-31.059540028	-21.0629110176	-28.4128600237
Araucaria_humboldtensis	22	22	0	0	2298	-21.88056	-22.25	-21.9740812632	-21.88333
Araucaria_hunsteinii	9	15	0	0	4645	-5.5	-36.9	-8.1592388372	-7.2
Araucaria_laubenfelsii	32	35	0	0	2957	-21.49056	-22.32	-21.8231096	-21.75
Araucaria_luxurians	14	16	0	0	2069	-19.71167	-37.31667	-21.9300594444	-21.55097
Araucaria_montana	69	66	4	0	4116	-20.58889	-21.52778	-21.2445087	-21.44208
Araucaria_muelleri	11	14	0	0	1302	-21.4425	-22.28861	-22.1741973	-22.1825
Araucaria_nemorosa	4	7	0	0	2970	-22.16666	-22.36111	-22.2772586364	-22.34709
Araucaria_rulei	31	29	0	0	3707	53.51667	-22.18306	-20.1881226	-20.45
Araucaria_schmidii	4	8	0	0	172	-20.58861	-20.675	-20.6086288889	-20.59587
Araucaria_scopulorum	11	15	0	0	6310	-20.23567	-33.87	-21.5336190698	-21.30776
Araucaria_subulata	22	28	0	0	988	25.6583	-22.31501	-21.4374289333	-22.10139
Athrotaxis_cupressoides	29	35	0	0	1489	-35.2667	-43.5152977109	-42.0438693736	-41.865289249
Athrotaxis_laxifolia	50	44	5	0	8419	37.78	-43.4986271409	-39.8359676008	-41.8575
Athrotaxis_selaginoides	30	32	3	0	1444	54.2666	-43.5152996819	-38.6551163699	-41.9326288908
Austrocedrus_chilensis	49	48	0	0	12063	51.44062	-43.2	-34.7782346465	-37.375
Austrotaxus_spicata	34	36	0	0	2174	-20.28	-21.67009	-21.1150058	-21.4375
Callitris_canescens	340	317	33	4	2580	-27.5835500223	-35.57362	-33.8575722811	-34.90199
Callitris_columellaris	190	108	76	18	30831	-12.7622	-35.7974100348	-30.2787078255	-30.7176250275
Callitris_drummondii	60	61	2	1	2347	-31.8514000293	-34.4916700331	-33.8682749238	-33.8483688745
Callitris_endlicheri	1355	1196	111	42	5094	-29.3013000252	-36.801440036	-33.0162199303	-32.3644950301
Callitris_macleayana	85	84	7	0	11957	36.92	-36.91667	-25.4646695128	-29.4373700121
Callitris_muelleri	66	63	1	0	1333	22.1167	-36.3467400355	-33.2118792871	-33.7154522627
Callitris_preissii	1136	899	123	29	4235	-33.14027	-35.76002	-35.3437778	-35.53155
Callitris_rhomboidea	562	503	78	17	6839	25.6583	-42.17	-32.7215826734	-33.4066250316
Callitris_sulcata	22	21	1	0	2423	-21.4425	-22.62064	-21.9677965306	-21.94361
Callitris_verrucosa	1052	935	128	32	2672	-29.808860026	-35.9217	-35.0940811003	-35.090345
Calocedrus_decurrens	75	82	2	6	16145	49.79751	32.86794	37.9229243	38.278835
Calocedrus_formosana	23	25	0	0	1919	25.6583	21.23333	24.3096488889	24.17
Calocedrus_macrolepis	18	22	0	2	6968	35.17361	11.92	23.5020155385	24.15019
Calocedrus_rupestris	8	13	0	0	11771	24.81	20.77111	22.29809125	21.485975
Cathaya_argyrophylla	9	20	0	0	5654	49.25408	24.17559	27.8645741667	26.479285
Cedrus_atlantica	20	36	0	0	10451	62.46682	-45.03116	43.1650146997	51.458315
Cedrus_deodara	16	20	0	0	35566	53.12537	-45.02523	19.546995045	34.6725
Cedrus_libani	17	18	0	0	13527	54.31889	-43.45496	41.8603808	44.04673
Cephalotaxus_fortunei	17	18	0	0	30906	50.78161	23.01291	30.4028377551	30.06671
Cephalotaxus_hainanensis	4	13	0	0	9019	39.44145	11.31855	19.97971	18.9
Cephalotaxus_harringtonii	102	99	2	1	5804	54.17385	22.61667	46.9736931798	49.76829
Cephalotaxus_lanceolata	7	18	0	0	4053	27.74074	27.67472	27.68951	27.68
Cephalotaxus_latifolia	3	21	0	0	1468	NA	NA	NA	NA
Cephalotaxus_mannii	22	21	4	2	13705	26.66666	11.31855	21.1598287037	22.44654
Cephalotaxus_oliveri	5	18	0	0	4656	30.47181	22.52946	28.567052875	29.49612
Cephalotaxus_sinensis	28	34	2	1	3398	49.25	22.01071	30.1482572449	30.66337
Chamaecyparis_formosensis	172	149	6	0	1067	25.03389	23.08861	24.3102144	24.595
Chamaecyparis_lawsoniana	79	83	2	2	6334	62.4767	-45.0376	47.4108232	52.31691
Chamaecyparis_obtusa	25	33	0	0	1396	56.6912	-33.7467700321	36.1448646999	35.1208
Chamaecyparis_pisifera	12	18	0	0	7843	59.73507	-28.52639	51.4809179798	56.1741
Chamaecyparis_thyoides	82	71	5	1	40021	49.25	-37.78333	35.8006639394	39.77333
Cryptomeria_japonica	13	18	0	0	2149	59.93086	-43.45261	25.7440619277	38.76693
Cunninghamia_konishii	11	12	0	0	1580	49.25	19.08528	24.8067486	24.169585
Cunninghamia_lanceolata	19	33	0	0	12058	53.51667	-29.36667	17.3828327941	24.98
Cupressus_atlantica	16	17	0	0	11500	NA	NA	NA	NA
Cupressus_austrotibetica	1	18	0	0	197	NA	NA	NA	NA
Cupressus_cashmeriana	19	26	0	0	6232	51.91222	-43.53333	21.1929642522	27.55
Cupressus_chengiana	19	35	0	1	17629	33.83	-43.53333	29.5999978431	30.99903
Cupressus_duclouxiana	25	36	1	0	36973	54.2666	-38.15	26.6889643	27.40291
Cupressus_dupreziana	7	17	0	0	2771	33.1	24.65	30.7533178667	30.95
Cupressus_funebris	24	32	1	0	17347	49.25	-36.85	22.7025485138	29.5
Cupressus_gigantea	5	18	0	0	120	29.4	28.98	29.0547422222	29.03
Cupressus_sempervirens	15	17	0	1	27055	55.76643	-36.84897	38.2340267007	43.25501
Cupressus_torulosa	18	20	0	0	6159	43.294	-43.58333	13.4711598658	29
Dacrycarpus_cinctus	46	47	2	0	2101	16.7	-10.03333	-6.6219933333	-6.1
Dacrycarpus_compactus	34	36	0	0	1361	-4.06667	-10.1648	-7.0355896	-6.716685
Dacrycarpus_cumingii	7	12	0	0	2800	16.7	1.83333	13.94949975	16.55
Dacrycarpus_dacrydioides	170	154	1	5	775	-34.74227	-45.85308	-40.9368316	-41.132595
Dacrycarpus_expansus	8	8	0	0	1872	-3.05	-6.72	-5.7200832558	-5.85
Dacrycarpus_imbricatus	154	132	20	6	8255	22.65805	-17.56889	9.3317980638	12.1
Dacrycarpus_kinabaluensis	3	13	0	0	895	6.08333	6.03	6.0738295	6.08
Dacrycarpus_vieillardii	42	42	1	0	1134	-20.81121	-22.3243	-21.835280765	-22.10167
Dacrydium_araucarioides	56	50	0	0	1392	47.127	-22.33333	-21.4083167581	-22.1659229071
Dacrydium_balansae	56	56	0	0	1238	-20.73306	-22.23813	-21.7586355	-21.90647
Dacrydium_beccarii	22	29	1	0	2502	13.27	-10.08	-0.0416490164	0.86667
Dacrydium_comosum	3	13	0	0	864	3.72	2.36667	3.297336	3.416665
Dacrydium_cupressinum	158	144	4	5	1358	NA	NA	NA	NA
Dacrydium_elatum	29	31	7	4	22972	22.28333	-8.9167	13.1466098	15.982915
Dacrydium_gibbsiae	6	12	0	0	138	6.12	6.0333	6.0766625	6.08
Dacrydium_gracile	4	13	0	0	77	6.08	5.98	6.0555555556	6.05
Dacrydium_guillauminii	9	16	0	0	5299	-22.18	-22.27294	-22.2390414286	-22.23917
Dacrydium_lycopodioides	18	21	0	0	9204	-20.3333	-22.15478	-21.9561808163	-22.06348
Dacrydium_magnum	4	7	0	0	15024	-1.46667	-11.52	-6.8486125	-7.37778
Dacrydium_nausoriense	3	4	1	0	4017	-16.47	-17.8	-17.4809090909	-17.8
Dacrydium_nidulum	33	30	5	0	10352	-0.7333	-19	-6.5194916162	-6.09444
Dacrydium_xanthandrum	15	14	1	0	2891	6.08	-9.6	-4.1822432692	-7.5
Diselma_archeri	55	55	1	0	623	-37.78333	-43.4833	-42.2287692787	-42.115293871
Falcatifolium_falciforme	16	25	0	0	4067	6.08	0.83	4.4481078378	4.63
Falcatifolium_papuanum	17	21	0	0	349	-4.21667	-8.58333	-6.8575246753	-7.33333
Falcatifolium_taxoides	26	28	0	0	1131	-20.4	-22.17139	-21.5534876632	-21.763395
Fitzroya_cupressoides	24	25	0	0	1316	43.255	-42.37556	-40.273688	-41.33944
Fokienia_hodginsii	29	35	1	1	3492	49.25	-43.53333	21.3267607	24.17559
Glyptostrobus_pensilis	8	13	0	0	5829	49.25408	12.93528	25.1079814	25.025295
Halocarpus_bidwillii	58	60	3	1	511	49.25	-46.56552	-37.3031841823	-42.4805
Halocarpus_biformis	166	164	4	0	397	-39.2508	-47.0671	-43.0798855534	-42.81558
Halocarpus_kirkii	8	8	0	0	4100	-34.4652	-43.6408	-36.6614024562	-36.18333
Hesperocyparis_abramsiana	10	16	0	0	1520	NA	NA	NA	NA
Hesperocyparis_arizonica	91	75	7	0	16468	NA	NA	NA	NA
Hesperocyparis_bakeri	17	17	0	0	4924	NA	NA	NA	NA
Hesperocyparis_forbesii	52	58	4	0	4006	NA	NA	NA	NA
Hesperocyparis_glabra	14	14	0	0	2364	NA	NA	NA	NA
Hesperocyparis_goveniana	22	30	0	0	3336	NA	NA	NA	NA
Hesperocyparis_guadalupensis	9	17	0	0	2802	NA	NA	NA	NA
Hesperocyparis_lusitanica	118	100	14	13	8031	NA	NA	NA	NA
Hesperocyparis_macnabiana	34	34	0	0	2299	NA	NA	NA	NA
Hesperocyparis_macrocarpa	16	19	0	0	14205	NA	NA	NA	NA
Hesperocyparis_montana	1	16	0	0	103	NA	NA	NA	NA
Hesperocyparis_nevadensis	20	33	0	0	9063	NA	NA	NA	NA
Hesperocyparis_sargentii	39	45	1	0	12499	NA	NA	NA	NA
Hesperocyparis_stephensonii	15	17	0	0	22889	NA	NA	NA	NA
Juniperus_angosturana	29	29	4	0	22551	28.793	20.61	22.922608913	22.20833
Juniperus_ashei	96	76	8	0	12611	36.6108	29.4722	30.8205115	30.338645
Juniperus_barbadensis	25	25	0	0	13180	25.675	13.9	20.47862	20.5
Juniperus_blancoi	10	23	0	0	1040	28.45	19.438	22.95509125	22.55403
Juniperus_californica	30	31	0	2	20619	40.28431	32.61732	35.1522069	34.54483
Juniperus_chinensis	29	30	4	0	61313	63.44901	-25.90778	42.830243	51.18162
Juniperus_coahuilensis	5	18	0	0	2423	39.2	20.195	28.24396	29.2758
Juniperus_comitana	5	13	0	0	11017	20.61667	15.4397	16.491708	16.11
Juniperus_communis	365	347	42	59	19294	69.74254	41.32099	59.5371287	59.336635
Juniperus_convallium	26	34	0	0	1709	33.845	29.03701	30.2390546	29.37
Juniperus_deppeana	117	98	4	4	10307	39.73193	-35.3042	29.3702039394	31.7078
Juniperus_drupacea	23	35	0	0	15791	37.95583	33.28	36.9503546575	37.28222
Juniperus_durangensis	33	32	0	1	5337	28.5	22.067	26.839537449	28.163
Juniperus_excelsa	108	104	9	7	29441	44.57139	-41.8152793785	35.4187498439	37.70739
Juniperus_flaccida	80	85	4	2	12769	29.30442	16.285	21.9762479381	21.538
Juniperus_formosana	46	40	8	0	13789	34.60222	22.6	24.4545289	24.16667
Juniperus_gamboana	9	14	0	0	456	NA	NA	NA	NA
Juniperus_gracilior	6	13	0	0	4092	19.12	18.13	18.5512194737	18.4775
Juniperus_horizontalis	123	82	29	12	45049	62.53	32.72906	45.7740892333	45.93253
Juniperus_indica	49	49	1	0	3437	30.38	27.51667	28.6037116	28.541665
Juniperus_komarovii	7	18	0	0	11451	37.5	30.0553	32.0672796875	31.90584
Juniperus_monosperma	218	167	15	15	25060	39.73193	18.666	34.4747917391	35.66849
Juniperus_monticola	40	42	0	0	13231	25.37417	15.085	19.618368764	19.50156
Juniperus_occidentalis	123	124	7	9	6078	45.01233	34.1891999991	39.0731387	39.433435
Juniperus_osteosperma	114	99	7	4	14873	45.0628	33.59048	39.0618428753	38.6715
Juniperus_oxycedrus	206	171	24	1	41841	44.857	33.909	40.8307508	41.08662
Juniperus_phoenicea	174	166	11	1	30217	44.89753	27.74508	38.6210321	37.947465
Juniperus_pinchotii	80	82	4	1	3422	37.13139	-28.875	29.1280843434	30.7103
Juniperus_pingii	21	34	0	0	2099	32.6	25.49602	28.8436884	28.875
Juniperus_polycarpos	41	50	1	2	15821	41.1144	39.0025	39.8266442308	39.782915
Juniperus_procera	54	52	8	0	14198	20.73	-40.65	6.3977197	9.28333
Juniperus_procumbens	3	17	0	0	1025	56.26281	-37.78333	31.6481166667	35.63177
Juniperus_przewalskii	17	17	0	0	1367	37.50319	31.6961	34.9203147619	34.716685
Juniperus_pseudosabina	24	34	0	1	9603	50.78944	34.78	38.0261587	36.61
Juniperus_recurva	45	51	0	0	9971	42.41957	-36.88333	27.7907211	27.93333
Juniperus_rigida	80	84	0	0	15251	49.54	-37.78333	32.3249305777	34.81445
Juniperus_sabina	72	63	6	2	30213	56.9498	36.654	44.4303087	42.925
Juniperus_saltillensis	10	18	0	0	988	28.59	23.88	25.1780693548	25.25
Juniperus_saltuaria	68	77	4	1	14398	33.85	26.47	30.0731481	29.768055
Juniperus_saxicola	3	14	0	0	415	20.02	19.92	19.985832	19.98916
Juniperus_scopulorum	108	73	27	0	35294	56.2627	32.37441	44.5126941	42.830485
Juniperus_semiglobosa	106	107	8	7	11749	43.05	28.9	36.1140782	36.72
Juniperus_squamata	211	208	5	3	8403	59.9255	23.25	38.9107045	30.28
Juniperus_taxifolia	1	5	0	0	459	35.71996	26.2	27.7935321739	27.0764
Juniperus_thurifera	121	106	10	0	17350	44.75566	28.40978	40.0343595	40.0144
Juniperus_tibetica	149	148	1	0	5441	36.51998	28.83	29.701154	29.31
Juniperus_virginiana	180	147	16	2	16580	45.44015	28.79965	37.0402553	36.72194
Keteleeria_davidiana	14	21	5	0	9219	38.5	11.96666	27.5032828	25.58109
Keteleeria_evelyniana	18	26	0	0	5280	29.91416	-38.16667	20.0462637	21.00389
Keteleeria_fortunei	10	12	1	0	2660	30.291	-40.60417	21.2070659155	24.33566
Lagarostrobos_franklinii	32	28	2	0	1562	-35.2833	-43.28333	-42.2747794424	-42.7153034352
Larix_decidua	142	129	2	2	15601	63.80204	-44.00106	52.7971146	50.64522
Larix_gmelinii	14	16	0	1	54693	68.33333	36.57011	46.051728	42.7865
Larix_griffithii	15	21	0	0	897	49.25	26.4536	29.0992188	27.69167
Larix_kaempferi	16	18	0	0	1952	63.10581	49.00573	62.8484428	63.10246
Larix_laricina	194	129	35	13	50543	48.16814	41.01372	44.6798213	44.46775
Larix_occidentalis	47	50	0	2	15351	50.63333	5.0833	46.7699453761	47.320685
Larix_potaninii	18	33	1	0	6770	49.25	20.00194	29.1399534	28.48611
Lepidothamnus_fonkii	7	13	0	0	1036	-40.18333	-52.7146	-43.0658805	-40.18333
Lepidothamnus_intermedius	161	142	6	1	508	-35.6	-47.0958	-42.5552859118	-41.961735
Lepidothamnus_laxifolius	38	41	1	0	197	49.25	-45.75	-40.4981114499	-42.89949
Libocedrus_bidwillii	184	165	4	1	466	-36.548430469	-46.42006	-42.2186418047	-42.81354
Libocedrus_plumosa	9	15	0	0	218	-34.43256	-43	-37.0289625136	-36.891715
Libocedrus_yateensis	9	16	0	0	2485	-20.95	-22.1128	-22.0682966667	-22.1128
Manoao_colensoi	95	95	3	0	450	-34.3958	-44.2597	-40.9555780469	-42.12185
Metasequoia_glyptostroboides	3	17	0	0	868	54.07581	-43.52037	43.3880533	48.608525
Microbiota_decussata	8	17	0	0	8188	50.3829	43.11	44.419929	43.73
Microcachrys_tetragona	33	36	0	0	387	49.25	-43.4986274433	-38.5529547378	-42.2486256364
Nageia_fleuryi	15	22	2	0	17514	23.64623	17.66666	22.3395835135	23.34996
Nageia_formosensis	4	13	0	0	8863	23.13333	22	22.3944433333	22.05
Nageia_motleyi	6	12	0	0	10624	4.35	-3.33	2.1733333333	3.035
Nageia_nagi	14	20	0	0	15657	36.4	14.01028	26.2471965	25.03333
Nageia_wallichiana	69	66	7	5	25418	39.473	-11.01667	3.246983	0.25
Neocallitropsis_pancheri	29	35	0	0	3913	33.7833	-22.61005	-21.382023	-22.225
Nothotsuga_longibracteata	7	13	0	0	4883	28.52228	23.22677	25.4156589011	25.25509
Papuacedrus_papuana	80	80	4	0	1366	7.02167	-9.6667	-6.3900475	-6.45
Parasitaxus_usta	16	21	0	0	2302	NA	NA	NA	NA
Pherosphaera_fitzgeraldii	60	57	0	1	3077	49.25	-38.12775	-14.9901357533	-13.9224
Pherosphaera_hookeriana	90	83	2	0	679	-41.9152914725	-42.95	-42.5785012441	-42.68
Phyllocladus_alpinus	108	107	5	0	427	NA	NA	NA	NA
Phyllocladus_aspleniifolius	50	47	3	0	772	-40.8819550318	-43.5319634563	-42.4263058725	-42.68
Phyllocladus_hypophyllus	82	75	3	5	1071	16.86833	-39.0714	-2.729829596	-5
Phyllocladus_toatoa	64	70	0	0	527	-35.20222	-39.05772	-38.0207544	-38.5614
Phyllocladus_trichomanoides	78	71	0	1	805	-34.39528	-45.81547	-40.2080133	-41.01675
Picea_abies	245	217	9	2	11007	63.25189	48.60113	57.2445252	60.48894
Picea_alcoquiana	12	17	0	0	595	49.25408	-39.88333	35.3837048276	35.5493
Picea_asperata	26	35	0	0	12830	50.00175	-43.53333	29.2111698	31.874585
Picea_brachytyla	17	17	1	0	24090	42.7322	26.4536	28.5680087	27.82308
Picea_breweriana	20	31	0	0	1378	57.05896	40.80067	42.567012606	41.749
Picea_chihuahuana	18	18	0	0	6907	49.25408	23.3	27.472899	27.725
Picea_crassifolia	10	17	0	0	11925	48.07246	33.57587	36.2468268182	35.29711
Picea_engelmannii	51	61	1	1	9211	59.4313	33.9004	45.3569235	44.33315
Picea_farreri	3	17	0	0	364	27.78944	27.18333	27.3348575	27.18333
Picea_glauca	22	27	4	0	48074	68.14235	38.9163	51.533437	48.757995
Picea_glehnii	18	34	0	0	9866	61.78333	35.6241	45.6298622727	44.12595
Picea_jezoensis	42	47	3	0	10322	61.78333	-39.88333	42.9348431313	43.36667
Picea_koraiensis	9	18	0	1	7208	61.78333	26.8761	44.5687325	44.639345
Picea_koyamae	14	17	0	0	193	58.35569	35.36667	37.9402345455	35.95967
Picea_likiangensis	30	36	0	0	3508	59.91667	-39.88333	28.9549139	28.341665
Picea_mariana	13	14	2	0	53877	63.6997	41.35139	50.543373289	48.287245
Picea_martinezii	3	17	0	0	149	NA	NA	NA	NA
Picea_maximowiczii	5	18	0	0	531	59.37	-37.8333	32.5789046667	35.97
Picea_mexicana	13	17	0	0	3027	NA	NA	NA	NA
Picea_meyeri	14	17	0	0	32360	59.37	36.09697	40.7911745455	39.00155
Picea_morrisonicola	23	25	0	0	899	42.7322	-39.88333	23.3623423469	23.97848
Picea_neoveitchii	5	18	0	0	10045	40.75361	30.66337	31.8143654839	30.66337
Picea_obovata	12	19	0	0	18730	72.98	42.7322	49.4543515385	47.81005
Picea_omorika	13	17	0	0	2359	62.47297	43.02	52.9538168	53.02205
Picea_orientalis	12	18	0	0	24250	59.649	-41.2652786495	47.6771531135	49.645
Picea_pungens	42	46	2	0	4763	61.55392	36.7786	50.2255554	49.678475
Picea_purpurea	14	18	0	0	1197	42.7322	26.8761	31.7232958	31.90584
Picea_retroflexa	8	16	2	0	16655	32.26552	30.05	30.6826838889	30.41575
Picea_rubens	19	30	1	0	10450	47.90484	35.59564	43.721028	44.29748
Picea_schrenkiana	12	18	0	0	45950	44.32639	38.9	42.6542388571	42.98667
Picea_sitchensis	71	60	3	0	5141	68.16066	41.35356	58.6825727	61.295815
Picea_smithiana	13	18	0	0	36172	49.66	-45.03683	26.936277395	35.43
Picea_spinulosa	8	13	0	0	4428	49.25408	27.28333	28.4814396154	27.475
Picea_torano	9	18	0	0	372	49.25408	-39.88333	35.2351952	36.0117
Picea_wilsonii	9	18	0	0	17560	49.64	25.01253	32.4394289	32.06166
Pilgerodendron_uviferum	39	40	0	0	18073	49.25	-51.74935	-39.3618152	-40.18333
Pinus_albicaulis	41	48	1	2	7642	52.0257	30.64278	42.7115351566	41.535215
Pinus_amamiana	2	12	0	0	543	34.23	30.3	32.92	34.23
Pinus_aristata	22	32	0	0	2370	50.5723	1	38.9892260204	38.874165
Pinus_arizonica	100	91	6	1	13497	32.4402	23.589	26.7398209	25.359
Pinus_armandii	28	39	1	0	9638	54.86932	-38.56667	26.0868527	27.7072
Pinus_attenuata	29	31	2	0	11595	44	31.94	37.5854578999	37.97013
Pinus_ayacahuite	63	66	2	0	8908	52.64237	-16.51667	19.2780471	19.091665
Pinus_balfouriana	13	17	0	0	9623	41.74833	35.9071	38.344221553	36.7737
